SenDist_en,SenDistPcode,SenDistRefName,SenDistAltName1_en,SenDistAltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Population2016
Abia Central,NG00101,Abia Central,<Null>,<Null>,Abia,NG001,Nigeria,NG,1010487 
Abia North,NG00102,Abia North,<Null>,<Null>,Abia,NG001,Nigeria,NG,1139239 
Abia South,NG00103,Abia South,<Null>,<Null>,Abia,NG001,Nigeria,NG,1494988 
Adamawa Central,NG00201,Adamawa Central,<Null>,<Null>,Adamawa,NG002,Nigeria,NG,1620519 
Adamawa North,NG00202,Adamawa North,<Null>,<Null>,Adamawa,NG002,Nigeria,NG,891599 
Adamawa South,NG00203,Adamawa South,<Null>,<Null>,Adamawa,NG002,Nigeria,NG,1633566 
Akwa Ibom North East,NG00301,Akwa Ibom North East,<Null>,<Null>,Akwa Ibom,NG003,Nigeria,NG,1860511 
Akwa Ibom North West,NG00302,Akwa Ibom North West,<Null>,<Null>,Akwa Ibom,NG003,Nigeria,NG,1819392 
Akwa Ibom South,NG00303,Akwa Ibom South,<Null>,<Null>,Akwa Ibom,NG003,Nigeria,NG,1673706 
Anambra Central,NG00401,Anambra Central,<Null>,<Null>,Anambra,NG004,Nigeria,NG,1906989 
Anambra North,NG00402,Anambra North,<Null>,<Null>,Anambra,NG004,Nigeria,NG,1466813 
Anambra South,NG00403,Anambra South,<Null>,<Null>,Anambra,NG004,Nigeria,NG,2051532 
Bauchi Central,NG00501,Bauchi Central,<Null>,<Null>,Bauchi,NG005,Nigeria,NG,1977980 
Bauchi North,NG00502,Bauchi North,<Null>,<Null>,Bauchi,NG005,Nigeria,NG,2065779 
Bauchi South,NG00503,Bauchi South,<Null>,<Null>,Bauchi,NG005,Nigeria,NG,2342629 
Bayelsa Central,NG00601,Bayelsa Central,<Null>,<Null>,Bayelsa,NG006,Nigeria,NG,981493 
Bayelsa East,NG00602,Bayelsa East,<Null>,<Null>,Bayelsa,NG006,Nigeria,NG,648928 
Bayelsa West,NG00603,Bayelsa West,<Null>,<Null>,Bayelsa,NG006,Nigeria,NG,598544 
Benue North East,NG00701,Benue North East,<Null>,<Null>,Benue,NG007,Nigeria,NG,1984512 
Benue North West,NG00702,Benue North West,<Null>,<Null>,Benue,NG007,Nigeria,NG,1870207 
Benue South,NG00703,Benue South,<Null>,<Null>,Benue,NG007,Nigeria,NG,1714227 
Borno Central,NG00801,Borno Central,<Null>,<Null>,Borno,NG008,Nigeria,NG,2398832 
Borno North,NG00802,Borno North,<Null>,<Null>,Borno,NG008,Nigeria,NG,1568271 
Borno South,NG00803,Borno South,<Null>,<Null>,Borno,NG008,Nigeria,NG,1701951 
Cross River Central,NG00901,Cross River Central,<Null>,<Null>,Cross River,NG009,Nigeria,NG,1233219 
Cross River North,NG00902,Cross River North,<Null>,<Null>,Cross River,NG009,Nigeria,NG,1214589 
Cross River South,NG00903,Cross River South,<Null>,<Null>,Cross River,NG009,Nigeria,NG,1332611 
Delta Central,NG01001,Delta Central,<Null>,<Null>,Delta,NG010,Nigeria,NG,2115704 
Delta North,NG01002,Delta North,<Null>,<Null>,Delta,NG010,Nigeria,NG,1650646 
Delta South,NG01003,Delta South,<Null>,<Null>,Delta,NG010,Nigeria,NG,1736456 
Ebonyi South,NG01101,Ebonyi South,<Null>,<Null>,Ebonyi,NG011,Nigeria,NG,1063856 
Ebonyi Central,NG01102,Ebonyi Central,<Null>,<Null>,Ebonyi,NG011,Nigeria,NG,836076 
Ebonyi North,NG01103,Ebonyi North,<Null>,<Null>,Ebonyi,NG011,Nigeria,NG,919743 
Edo South,NG01201,Edo South,<Null>,<Null>,Edo,NG012,Nigeria,NG,2158550 
Edo Central,NG01202,Edo Central,<Null>,<Null>,Edo,NG012,Nigeria,NG,756025 
Edo North,NG01203,Edo North,<Null>,<Null>,Edo,NG012,Nigeria,NG,1224419 
Ekiti South,NG01301,Ekiti South,<Null>,<Null>,Ekiti,NG013,Nigeria,NG,1073552 
Ekiti Central,NG01302,Ekiti Central,<Null>,<Null>,Ekiti,NG013,Nigeria,NG,1232758 
Ekiti North,NG01303,Ekiti North,<Null>,<Null>,Ekiti,NG013,Nigeria,NG,867696 
Enugu North,NG01401,Enugu North,<Null>,<Null>,Enugu,NG014,Nigeria,NG,1621601 
Enugu East,NG01402,Enugu East,<Null>,<Null>,Enugu,NG014,Nigeria,NG,1539718 
Enugu West,NG01403,Enugu West,<Null>,<Null>,Enugu,NG014,Nigeria,NG,1137962 
Federal Capital Territory,NG01501,Federal Capital Territory,<Null>,<Null>,Federal Capital Territory,NG015,Nigeria,NG,2996670 
Gombe Central,NG01601,Gombe Central,<Null>,<Null>,Gombe,NG016,Nigeria,NG,796342 
Gombe North,NG01602,Gombe North,<Null>,<Null>,Gombe,NG016,Nigeria,NG,1402773 
Gombe South,NG01603,Gombe South,<Null>,<Null>,Gombe,NG016,Nigeria,NG,961379 
Imo East,NG01701,Imo East,<Null>,<Null>,Imo,NG017,Nigeria,NG,1988264 
Imo North,NG01702,Imo North,<Null>,<Null>,Imo,NG017,Nigeria,NG,1074152 
Imo West,NG01703,Imo West,<Null>,<Null>,Imo,NG017,Nigeria,NG,2220872 
Jigawa North-East,NG01801,Jigawa North-East,<Null>,<Null>,Jigawa,NG018,Nigeria,NG,1631691 
Jigawa North-West,NG01802,Jigawa North-West,<Null>,<Null>,Jigawa,NG018,Nigeria,NG,2148441 
Jigawa South-West,NG01803,Jigawa South-West,<Null>,<Null>,Jigawa,NG018,Nigeria,NG,1910384 
Kaduna Central,NG01901,Kaduna Central,<Null>,<Null>,Kaduna,NG019,Nigeria,NG,2914613 
Kaduna North,NG01902,Kaduna North,<Null>,<Null>,Kaduna,NG019,Nigeria,NG,2746328 
Kaduna South,NG01903,Kaduna South,<Null>,<Null>,Kaduna,NG019,Nigeria,NG,2346264 
Kano South,NG02001,Kano South,<Null>,<Null>,Kano,NG020,Nigeria,NG,3909079 
Kano Central,NG02002,Kano Central,<Null>,<Null>,Kano,NG020,Nigeria,NG,5520294 
Kano North,NG02003,Kano North,<Null>,<Null>,Kano,NG020,Nigeria,NG,3277405 
Katsina Central,NG02101,Katsina Central,<Null>,<Null>,Katsina,NG021,Nigeria,NG,2563544 
Katsina North,NG02102,Katsina North,<Null>,<Null>,Katsina,NG021,Nigeria,NG,2578128 
Katsina South,NG02103,Katsina South,<Null>,<Null>,Katsina,NG021,Nigeria,NG,2503903 
Kebbi Central,NG02201,Kebbi Central,<Null>,<Null>,Kebbi,NG022,Nigeria,NG,1361302 
